"","x"
"471",255
"472",255
"473",255
"474",0
"475",255
"476",1
"477",255
"478",255
"479",255
"480",255
"481",0
"482",255
"483",255
"484",255
"485",1
"486",255
"487",255
"488",255
"489",255
"490",255
"491",255
"492",255
"493",255
"494",255
"495",29
"496",255
"497",255
"498",255
"499",255
"500",255
"501",255
"502",255
"503",255
"504",255
"505",1
"506",50
"507",1
"508",49
"509",255
"510",1
"511",1
"512",255
"513",255
"514",255
"515",255
"516",255
"517",0
"518",255
"519",255
"520",255
"521",255
"522",255
"523",255
"524",1
"525",255
"526",255
"527",255
"528",255
"529",255
"530",255
"531",255
"532",255
"533",255
"534",255
"535",1
"536",1
"537",255
"538",255
"539",255
"540",255
"541",255
"542",1
"543",255
"544",50
"545",0
"546",255
"547",255
"548",4
"549",255
"550",255
"551",255
"552",255
"553",255
"554",255
"555",1
"556",255
"557",1
"558",255
"559",3
"560",255
"561",50
"562",255
"563",2
"564",255
"565",255
"566",255
"567",50
"568",255
"569",255
"570",255
"571",255
"572",255
"573",50
"574",255
"575",1
"576",255
"577",255
"578",255
"579",255
"580",255
"581",1
"582",255
"583",50
"584",255
"585",255
"586",1
"587",255
"588",255
"589",1
"590",255
"591",1
"592",50
"593",255
"594",255
"595",255
"596",1
"597",255
"598",1
"599",255
"600",1
"601",5
"602",255
"603",255
"604",1
"605",49
"606",255
"607",255
"608",255
"609",255
"610",2
"611",50
"612",255
"613",255
"614",1
"615",255
"616",255
"617",255
"618",255
"619",255
"620",255
"621",255
"622",255
"623",255
"624",255
"625",255
"626",1
"627",0
"628",255
"629",255
"630",1
"631",255
"632",50
"633",2
"634",0
"635",50
"636",255
"637",255
"638",1
"639",255
"640",255
"641",255
"642",255
"643",255
"644",255
"645",1
"646",255
"647",255
"648",1
"649",255
"650",255
"651",255
"652",255
"653",255
"654",255
"655",255
"656",1
"657",255
"658",255
"659",50
"660",255
"661",255
"662",0
"663",255
"664",255
"665",255
"666",255
"667",255
"668",255
"669",255
"670",255
"671",255
"672",24
"673",255
"674",255
"675",0
"676",255
"677",50
"678",255
"679",50
"680",255
"681",255
"682",255
"683",1
"684",255
"685",255
"686",50
"687",255
"688",255
"689",0
"690",255
"691",255
"692",255
"693",255
"694",255
"695",1
"696",3
"697",255
"698",255
"699",255
"700",1
"701",255
"702",255
"703",255
"704",255
"705",255
"706",50
"707",255
"708",50
"709",255
"710",0
"711",2
"712",1
"713",255
"714",255
"715",255
"716",255
"717",255
"718",0
"719",255
"720",255
"721",255
"722",0
"723",1
"724",255
"725",255
"726",255
"727",255
"728",255
"729",255
"730",255
"731",50
"732",255
"733",255
"734",1
"735",50
"736",255
"737",0
"738",13
"739",1
"740",255
"741",255
"742",255
"743",255
"744",255
"745",7
"746",255
"747",255
"748",255
"749",255
"750",255
"751",34
"752",28
"753",255
"754",255
"755",50
"756",255
"757",1
"758",255
"759",255
"760",255
"761",255
"762",255
"763",1
"764",0
"765",255
"766",255
"767",255
"768",1
"769",30
"770",255
"771",255
"772",255
"773",255
"774",0
"775",255
"776",255
"777",255
"778",255
"779",1
"780",1
"781",255
"782",255
"783",255
"784",43
"785",255
"786",2
"787",255
"788",255
"789",255
"790",10
"791",255
"792",255
"793",255
"794",255
"795",255
"796",1
"797",255
"798",255
"799",255
"800",255
"801",255
"802",255
"803",255
"804",255
"805",50
"806",255
"807",255
"808",255
"809",255
"810",1
"811",255
"812",255
"813",255
"814",255
"815",255
"816",1
"817",255
"818",255
"819",255
"820",255
"821",255
"822",255
"823",255
"824",255
"825",255
"826",255
"827",25
"828",255
"829",255
"830",255
"831",50
"832",2
"833",255
"834",50
"835",1
"836",255
"837",255
"838",255
"839",255
"840",255
"841",255
"842",255
"843",255
"844",255
"845",255
"846",255
"847",255
"848",255
"849",255
"850",255
"851",1
"852",255
"853",255
"854",255
"855",255
"856",255
"857",43
"858",255
"859",40
"860",1
"861",255
"862",255
"863",255
"864",255
"865",255
"866",255
"867",255
"868",1
"869",3
"870",255
"871",255
"872",255
"873",255
"874",255
"875",255
"876",1
"877",1
"878",255
"879",255
"880",255
"881",255
"882",255
"883",255
"884",255
"885",255
"886",255
"887",1
"888",255
"889",255
"890",255
"891",0
"892",8
"893",255
"894",1
"895",50
"896",255
"897",255
"898",255
"899",255
"900",0
"901",255
"902",255
"903",2
"904",255
"905",255
"906",255
"907",255
"908",255
"909",255
"910",255
"911",255
"912",8
"913",1
"914",255
"915",255
"916",255
"917",1
"918",255
"919",255
"920",11
"921",255
"922",255
"923",1
"924",255
"925",255
"926",255
"927",255
"928",255
"929",9
"930",255
"931",255
"932",255
"933",1
"934",255
"935",255
"936",255
"937",255
"938",255
"939",50
"940",255
"941",255
"942",255
"943",255
"944",255
"945",255
"946",1
"947",255
"948",255
"949",1
"950",255
"951",255
"952",255
"953",255
"954",23
"955",26
"956",2
"957",255
"958",255
"959",255
"960",1
"961",3
"962",255
"963",50
"964",1
"965",1
"966",1
"967",255
"968",255
"969",255
"970",255
"971",255
"972",255
"973",50
"974",50
"975",1
"976",255
"977",255
"978",255
"979",1
"980",255
"981",1
"982",255
"983",255
"984",255
"985",255
"986",255
"987",255
"988",255
"989",255
"990",255
"991",255
"992",255
"993",1
"994",255
"995",255
"996",3
"997",255
"998",255
"999",50
"1000",255
"1001",21
"1002",255
"1003",255
"1004",255
"1005",255
"1006",255
"1007",255
"1008",1
"1009",255
"1010",50
"1011",255
"1012",34
"1013",255
"1014",255
"1015",255
"1016",255
"1017",255
"1018",255
"1019",255
"1020",1
"1021",255
"1022",50
"1023",255
"1024",0
"1025",255
"1026",255
"1027",50
"1028",255
"1029",255
"1030",1
"1031",255
"1032",43
"1033",255
"1034",255
"1035",1
"1036",1
"1037",1
"1038",255
"1039",255
"1040",255
"1041",1
"1042",255
"1043",255
"1044",1
"1045",34
"1046",1
"1047",255
"1048",255
"1049",255
"1050",255
"1051",0
"1052",255
"1053",50
"1054",255
"1055",255
"1056",255
"1057",1
"1058",50
"1059",255
"1060",255
"1061",255
"1062",255
"1063",255
"1064",255
"1065",0
"1066",255
"1067",255
"1068",255
"1069",255
"1070",255
"1071",255
"1072",255
"1073",255
"1074",255
"1075",255
"1076",1
"1077",255
"1078",1
"1079",255
"1080",255
"1081",255
"1082",255
"1083",255
"1084",1
"1085",255
"1086",255
"1087",1
"1088",1
"1089",255
"1090",255
"1091",255
"1092",255
"1093",255
"1094",1
"1095",1
"1096",255
"1097",255
"1098",255
"1099",255
"1100",255
"1101",1
"1102",255
"1103",1
"1104",255
"1105",255
"1106",50
"1107",255
"1108",255
"1109",255
"1110",255
"1111",255
"1112",255
"1113",255
"1114",255
"1115",18
"1116",50
"1117",255
"1118",255
"1119",3
"1120",255
"1121",255
"1122",255
"1123",255
"1124",255
"1125",50
"1126",255
"1127",255
"1128",255
"1129",255
"1130",0
"1131",255
"1132",255
"1133",0
"1134",255
"1135",255
"1136",255
"1137",255
"1138",8
"1139",255
"1140",10
"1141",255
"1142",4
"1143",255
"1144",255
"1145",50
"1146",1
"1147",255
"1148",255
"1149",255
"1150",255
"1151",50
"1152",255
"1153",255
"1154",255
"1155",255
"1156",255
"1157",255
"1158",255
"1159",255
"1160",1
"1161",1
"1162",255
"1163",255
"1164",255
"1165",255
"1166",255
"1167",255
"1168",255
"1169",255
"1170",50
"1171",255
"1172",255
"1173",255
"1174",1
"1175",1
"1176",0
"1177",255
"1178",255
"1179",255
"1180",255
"1181",255
"1182",255
"1183",255
"1184",1
"1185",255
"1186",255
"1187",255
"1188",255
"1189",255
"1190",255
"1191",255
"1192",1
"1193",255
"1194",255
"1195",255
"1196",255
"1197",2
"1198",3
"1199",255
"1200",255
"1201",15
"1202",50
"1203",1
"1204",255
"1205",255
"1206",255
"1207",255
"1208",255
"1209",255
"1210",255
"1211",1
"1212",1
"1213",255
"1214",255
"1215",255
"1216",255
"1217",1
"1218",255
"1219",255
"1220",255
"1221",255
"1222",255
"1223",255
"1224",255
"1225",255
"1226",255
"1227",255
"1228",1
"1229",255
"1230",255
"1231",255
"1232",255
"1233",255
"1234",1
"1235",255
"1236",255
"1237",255
"1238",255
"1239",255
"1240",255
"1241",255
"1242",255
"1243",255
"1244",255
"1245",1
"1246",255
"1247",1
"1248",17
"1249",255
"1250",255
"1251",255
"1252",50
"1253",255
"1254",255
"1255",1
"1256",255
"1257",1
"1258",50
"1259",255
"1260",1
"1261",255
"1262",255
"1263",0
"1264",0
"1265",255
"1266",255
"1267",255
"1268",255
"1269",255
"1270",50
"1271",1
"1272",255
"1273",255
"1274",11
"1275",1
"1276",255
"1277",255
"1278",39
"1279",255
"1280",18
"1281",255
"1282",1
"1283",255
"1284",255
"1285",255
"1286",255
"1287",255
"1288",255
"1289",255
"1290",255
"1291",50
"1292",50
"1293",255
"1294",255
"1295",255
"1296",255
"1297",255
"1298",255
"1299",255
"1300",255
"1301",255
"1302",255
"1303",1
"1304",255
"1305",255
"1306",255
"1307",255
"1308",255
"1309",255
"1310",255
"1311",255
"1312",255
"1313",1
"1314",255
"1315",255
"1316",255
"1317",255
"1318",255
"1319",255
"1320",255
"1321",255
"1322",0
"1323",12
"1324",255
"1325",50
"1326",255
"1327",1
"1328",255
"1329",255
"1330",255
"1331",255
"1332",255
"1333",255
"1334",255
"1335",255
"1336",255
"1337",255
"1338",255
"1339",50
"1340",255
"1341",255
"1342",255
"1343",1
"1344",255
"1345",1
"1346",255
"1347",50
"1348",255
"1349",255
"1350",50
"1351",255
"1352",255
"1353",255
"1354",255
"1355",255
"1356",255
"1357",50
"1358",255
"1359",50
"1360",255
"1361",1
"1362",255
"1363",255
"1364",255
"1365",255
"1366",255
"1367",0
"1368",16
"1369",1
"1370",255
"1371",21
"1372",1
"1373",0
"1374",255
"1375",255
"1376",255
"1377",255
"1378",255
"1379",255
"1380",255
"1381",255
"1382",255
"1383",1
"1384",255
"1385",255
"1386",50
"1387",1
"1388",50
"1389",34
"1390",255
"1391",255
"1392",1
"1393",50
"1394",1
"1395",1
"1396",255
"1397",50
"1398",1
"1399",255
"1400",255
"1401",255
"1402",255
"1403",255
"1404",255
"1405",2
"1406",255
"1407",255
"1408",255
"1409",255
"1410",255
"1411",1
"1412",255
"1413",255
"1414",255
"1415",255
"1416",255
"1417",1
"1418",1
"1419",255
"1420",1
"1421",255
"1422",255
"1423",1
"1424",255
"1425",255
"1426",255
"1427",255
"1428",255
"1429",255
"1430",5
"1431",255
"1432",255
"1433",1
"1434",1
"1435",14
"1436",1
"1437",9
"1438",255
"1439",255
"1440",255
"1441",255
"1442",255
"1443",255
"1444",255
"1445",255
"1446",255
"1447",255
"1448",255
"1449",255
"1450",255
"1451",255
"1452",255
"1453",255
"1454",255
"1455",255
"1456",255
"1457",255
"1458",255
"1459",5
"1460",255
"1461",255
"1462",255
"1463",255
"1464",255
"1465",255
"1466",0
"1467",255
"1468",50
"1469",255
"1470",255
"1471",255
"1472",255
"1473",255
"1474",255
"1475",50
"1476",255
"1477",255
"1478",255
"1479",255
"1480",255
"1481",50
"1482",255
"1483",255
"1484",255
"1485",255
"1486",255
"1487",255
"1488",255
"1489",255
"1490",1
"1491",255
"1492",255
"1493",0
"1494",255
"1495",1
"1496",255
"1497",1
"1498",255
"1499",255
"1500",10
"1501",11
"1502",1
"1503",255
"1504",255
"1505",255
"1506",255
"1507",255
"1508",1
"1509",255
"1510",1
"1511",255
"1512",255
"1513",255
"1514",255
"1515",50
"1516",255
"1517",255
"1518",255
"1519",255
"1520",1
"1521",255
"1522",255
"1523",255
"1524",1
"1525",255
"1526",255
"1527",255
"1528",255
"1529",255
"1530",255
"1531",255
"1532",255
"1533",255
"1534",255
"1535",255
"1536",255
"1537",255
"1538",255
"1539",21
"1540",255
"1541",255
"1542",255
"1543",255
"1544",255
"1545",255
"1546",255
"1547",1
"1548",255
"1549",255
"1550",36
"1551",255
"1552",255
"1553",255
"1554",9
"1555",255
"1556",255
"1557",255
"1558",2
"1559",1
"1560",255
"1561",255
"1562",255
"1563",255
"1564",255
"1565",4
"1566",255
"1567",17
"1568",50
"1569",255
"1570",255
"1571",50
"1572",13
"1573",255
"1574",255
"1575",255
"1576",255
"1577",255
"1578",255
"1579",255
"1580",255
"1581",255
"1582",1
"1583",50
"1584",2
"1585",255
"1586",255
"1587",16
"1588",1
"1589",1
"1590",1
"1591",1
"1592",255
"1593",255
"1594",255
"1595",50
"1596",255
"1597",40
"1598",255
"1599",255
"1600",255
"1601",255
"1602",255
"1603",1
"1604",1
"1605",255
"1606",1
"1607",255
"1608",255
"1609",255
"1610",255
"1611",255
"1612",255
"1613",255
"1614",255
"1615",255
"1616",255
"1617",2
"1618",255
"1619",255
"1620",255
"1621",255
"1622",255
"1623",0
"1624",255
"1625",1
"1626",255
"1627",255
"1628",255
"1629",255
"1630",255
"1631",1
"1632",255
"1633",255
"1634",255
"1635",255
"1636",255
"1637",255
"1638",255
"1639",255
"1640",255
"1641",255
"1642",1
"1643",255
"1644",255
"1645",24
"1646",255
"1647",255
"1648",1
"1649",50
"1650",255
"1651",1
"1652",255
"1653",255
"1654",255
"1655",255
"1656",255
"1657",255
"1658",50
"1659",255
"1660",255
"1661",255
"1662",17
"1663",255
"1664",255
"1665",1
"1666",255
"1667",26
"1668",255
"1669",255
"1670",255
"1671",255
"1672",255
"1673",50
"1674",50
"1675",255
"1676",255
"1677",1
"1678",255
"1679",255
"1680",255
"1681",255
"1682",255
"1683",2
"1684",255
"1685",255
"1686",255
"1687",0
"1688",255
"1689",255
"1690",255
"1691",255
"1692",255
"1693",255
"1694",255
"1695",255
"1696",255
"1697",255
"1698",255
"1699",255
"1700",255
"1701",255
"1702",255
"1703",1
"1704",1
"1705",255
"1706",255
"1707",255
"1708",1
"1709",255
"1710",255
"1711",255
"1712",255
"1713",255
"1714",1
"1715",1
"1716",255
"1717",255
"1718",1
"1719",1
"1720",1
"1721",0
"1722",255
"1723",255
"1724",255
"1725",255
"1726",255
"1727",50
"1728",255
"1729",255
"1730",255
"1731",255
"1732",2
"1733",1
"1734",255
"1735",255
"1736",1
"1737",255
"1738",255
"1739",255
"1740",255
"1741",255
"1742",0
"1743",1
"1744",255
"1745",255
"1746",1
"1747",255
"1748",255
"1749",255
"1750",255
"1751",1
"1752",255
"1753",1
"1754",255
"1755",255
"1756",0
"1757",255
"1758",255
"1759",255
"1760",255
"1761",255
"1762",255
"1763",255
"1764",255
"1765",255
"1766",0
"1767",255
"1768",255
"1769",255
"1770",255
"1771",0
"1772",1
"1773",255
"1774",0
"1775",1
"1776",255
"1777",17
"1778",50
"1779",0
"1780",255
"1781",255
"1782",23
"1783",1
"1784",255
"1785",255
"1786",17
"1787",255
"1788",255
"1789",255
"1790",255
"1791",255
"1792",255
"1793",1
"1794",12
"1795",255
"1796",255
"1797",255
"1798",255
"1799",255
"1800",255
"1801",255
"1802",255
"1803",50
"1804",255
"1805",255
"1806",255
"1807",255
"1808",26
"1809",255
"1810",255
"1811",1
"1812",255
"1813",255
"1814",40
"1815",1
"1816",0
"1817",1
"1818",255
"1819",255
"1820",50
"1821",1
"1822",255
"1823",255
"1824",1
"1825",255
"1826",255
"1827",255
"1828",255
"1829",1
"1830",255
"1831",255
"1832",255
"1833",255
"1834",36
"1835",255
"1836",50
"1837",255
"1838",255
"1839",255
"1840",255
"1841",255
"1842",6
"1843",50
"1844",255
"1845",255
"1846",255
"1847",255
"1848",1
"1849",255
"1850",255
"1851",24
"1852",255
"1853",255
"1854",255
"1855",255
"1856",50
"1857",255
"1858",7
"1859",1
"1860",255
"1861",50
"1862",255
"1863",255
"1864",255
"1865",255
"1866",50
"1867",2
"1868",1
"1869",1
"1870",255
"1871",255
"1872",255
"1873",0
"1874",50
"1875",255
"1876",255
"1877",255
"1878",255
"1879",255
"1880",255
"1881",255
"1882",255
"1883",255
"1884",255
"1885",255
"1886",255
"1887",255
"1888",255
"1889",255
"1890",255
"1891",255
"1892",255
"1893",255
"1894",255
"1895",50
"1896",255
"1897",255
"1898",255
"1899",255
"1900",255
"1901",255
"1902",255
"1903",50
"1904",255
"1905",255
"1906",255
"1907",255
"1908",1
"1909",255
"1910",255
"1911",255
"1912",38
"1913",255
"1914",255
"1915",255
"1916",255
"1917",255
"1918",50
"1919",255
"1920",255
"1921",255
"1922",255
"1923",255
"1924",255
"1925",255
"1926",255
"1927",255
"1928",255
"1929",255
"1930",255
"1931",255
"1932",8
"1933",255
"1934",255
"1935",0
"1936",255
"1937",255
"1938",255
"1939",255
"1940",255
"1941",255
"1942",255
"1943",255
"1944",255
"1945",1
"1946",50
"1947",255
"1948",255
"1949",50
"1950",37
"1951",255
"1952",255
"1953",1
"1954",255
"1955",20
"1956",255
"1957",255
"1958",255
"1959",255
"1960",255
"1961",255
"1962",255
"1963",45
"1964",255
"1965",255
"1966",255
"1967",1
"1968",255
"1969",255
"1970",255
"1971",255
"1972",1
"1973",255
"1974",255
"1975",255
"1976",1
"1977",1
"1978",255
"1979",1
"1980",255
"1981",255
"1982",255
"1983",1
"1984",255
"1985",255
"1986",255
"1987",255
"1988",255
"1989",255
"1990",255
"1991",255
"1992",1
"1993",255
"1994",0
"1995",255
"1996",50
"1997",255
"1998",255
"1999",255
"2000",255
"2001",255
"2002",255
"2003",255
"2004",255
"2005",0
"2006",255
"2007",255
"2008",1
"2009",255
"2010",255
"2011",1
"2012",255
"2013",1
"2014",255
"2015",255
"2016",255
"2017",255
"2018",255
"2019",30
"2020",255
"2021",255
"2022",43
"2023",255
"2024",255
"2025",255
"2026",1
"2027",255
"2028",255
"2029",50
"2030",255
"2031",255
"2032",255
"2033",255
"2034",255
"2035",255
"2036",255
"2037",4
"2038",255
"2039",255
"2040",14
"2041",255
"2042",255
"2043",255
"2044",255
"2045",255
"2046",255
"2047",255
"2048",255
"2049",255
"2050",255
"2051",255
"2052",255
"2053",255
"2054",255
"2055",255
"2056",255
"2057",1
"2058",255
"2059",255
"2060",0
"2061",255
"2062",1
"2063",255
"2064",255
"2065",50
"2066",255
"2067",255
"2068",255
"2069",4
"2070",255
"2071",1
"2072",255
"2073",255
"2074",1
"2075",255
"2076",255
"2077",39
"2078",255
"2079",255
"2080",20
"2081",255
"2082",1
"2083",255
"2084",255
"2085",255
"2086",1
"2087",255
"2088",255
"2089",255
"2090",13
"2091",255
"2092",255
"2093",255
"2094",1
"2095",4
"2096",255
"2097",255
"2098",255
"2099",255
"2100",255
"2101",255
"2102",33
"2103",255
"2104",255
"2105",255
"2106",255
"2107",255
"2108",255
"2109",255
"2110",255
"2111",255
"2112",255
"2113",255
"2114",50
"2115",8
"2116",255
"2117",1
"2118",255
"2119",255
"2120",255
"2121",255
"2122",255
"2123",255
"2124",255
"2125",255
"2126",14
"2127",50
"2128",255
"2129",255
"2130",1
"2131",50
"2132",255
"2133",255
"2134",40
"2135",255
"2136",28
"2137",255
"2138",1
"2139",255
"2140",1
"2141",34
"2142",255
"2143",2
"2144",255
"2145",255
"2146",255
"2147",255
"2148",255
"2149",255
"2150",255
"2151",255
"2152",255
"2153",255
"2154",4
"2155",255
"2156",255
"2157",255
"2158",255
"2159",255
"2160",255
"2161",255
"2162",1
"2163",255
"2164",2
"2165",27
"2166",50
"2167",255
"2168",255
"2169",255
"2170",255
"2171",255
"2172",31
"2173",255
"2174",255
"2175",255
"2176",255
"2177",255
"2178",255
"2179",255
"2180",50
"2181",50
"2182",255
"2183",255
"2184",255
"2185",255
"2186",255
"2187",255
"2188",255
"2189",255
"2190",0
"2191",255
"2192",255
"2193",50
"2194",255
"2195",1
"2196",255
"2197",255
"2198",50
"2199",36
"2200",255
"2201",255
"2202",255
"2203",255
"2204",255
"2205",46
"2206",255
"2207",2
"2208",255
"2209",255
"2210",255
"2211",1
"2212",255
"2213",255
"2214",1
"2215",255
"2216",1
"2217",255
"2218",255
"2219",255
"2220",50
"2221",255
"2222",255
"2223",0
"2224",255
"2225",255
"2226",255
"2227",255
"2228",1
"2229",255
"2230",255
"2231",255
"2232",255
"2233",255
"2234",255
"2235",255
"2236",255
"2237",255
"2238",255
"2239",255
"2240",255
"2241",255
"2242",255
"2243",0
"2244",255
"2245",50
"2246",255
"2247",23
"2248",255
"2249",255
"2250",255
"2251",255
"2252",255
"2253",255
"2254",50
"2255",42
"2256",255
"2257",255
"2258",255
"2259",2
"2260",255
"2261",255
"2262",255
"2263",1
"2264",255
"2265",255
"2266",50
"2267",1
"2268",1
"2269",255
"2270",255
"2271",255
"2272",50
"2273",255
"2274",255
"2275",255
"2276",255
"2277",255
"2278",1
"2279",255
"2280",255
"2281",255
"2282",255
"2283",255
"2284",255
"2285",255
"2286",255
"2287",255
"2288",50
"2289",255
"2290",1
"2291",255
"2292",29
"2293",50
"2294",0
"2295",255
"2296",1
"2297",27
"2298",50
"2299",21
"2300",24
"2301",255
"2302",255
"2303",255
"2304",255
"2305",255
"2306",255
"2307",255
"2308",255
"2309",255
"2310",255
"2311",50
"2312",1
"2313",255
"2314",255
"2315",1
"2316",255
"2317",255
"2318",0
"2319",255
"2320",255
"2321",255
"2322",255
"2323",255
"2324",255
"2325",1
"2326",50
"2327",20
"2328",255
"2329",255
"2330",255
"2331",2
"2332",1
"2333",255
"2334",255
"2335",3
"2336",255
"2337",255
"2338",255
"2339",255
"2340",255
"2341",255
"2342",255
"2343",255
"2344",255
"2345",255
"2346",1
"2347",0
"2348",255
"2349",255
"2350",255
"2351",255
"2352",255
"2353",255
"2354",255
"2355",13
"2356",2
"2357",255
"2358",255
"2359",255
"2360",255
"2361",6
"2362",255
"2363",255
"2364",1
"2365",1
"2366",255
"2367",255
"2368",255
"2369",255
"2370",255
"2371",255
"2372",255
"2373",255
"2374",50
"2375",255
"2376",255
"2377",255
"2378",255
"2379",255
"2380",30
"2381",255
"2382",255
"2383",255
"2384",255
"2385",50
"2386",255
"2387",20
"2388",1
"2389",255
"2390",255
"2391",255
"2392",255
"2393",255
"2394",255
"2395",255
"2396",255
"2397",255
"2398",1
"2399",255
"2400",1
"2401",255
"2402",255
"2403",255
"2404",255
"2405",255
"2406",1
"2407",255
"2408",255
"2409",255
"2410",1
"2411",255
"2412",255
"2413",255
"2414",255
"2415",255
"2416",255
"2417",255
"2418",255
"2419",255
"2420",255
"2421",1
"2422",255
"2423",255
"2424",255
"2425",255
"2426",255
"2427",3
"2428",255
"2429",255
"2430",255
"2431",255
"2432",4
"2433",2
"2434",22
"2435",33
"2436",255
"2437",1
"2438",255
"2439",255
"2440",255
"2441",255
"2442",50
"2443",255
"2444",255
"2445",50
"2446",2
"2447",255
"2448",255
"2449",1
"2450",255
"2451",2
"2452",1
"2453",255
"2454",255
"2455",1
"2456",255
"2457",255
"2458",255
"2459",255
"2460",255
"2461",255
"2462",255
"2463",255
"2464",255
"2465",255
"2466",255
"2467",255
"2468",255
"2469",255
"2470",255
"2471",255
"2472",255
"2473",30
"2474",255
"2475",255
"2476",255
"2477",255
"2478",255
"2479",255
"2480",255
"2481",255
"2482",255
"2483",50
"2484",255
"2485",255
"2486",1
"2487",255
"2488",255
"2489",255
"2490",255
"2491",50
"2492",255
"2493",255
"2494",255
"2495",255
"2496",255
"2497",255
"2498",255
